composition,Sn含量,温度,D_cm2_s_Pt,PtSn,D_cm2_s_Sn,每原子能量,相对能量,每原子标准差,Cv_meV_per_K
pt8sn0-2-best,0,200,-2.654527e-10,,-2.654527e-10,-12709.479325690916,0.0006850477080661222,0.033289749333333334,5.747515615366865
pt8sn0-2-best,0,300,9.706071e-10,,9.706071e-10,-12510.836386935865,0.5366382135574755,0.049250397532051286,5.790925665778559
pt8sn0-2-best,0,400,7.847486e-10,,7.847486e-10,-12565.319608142918,1.0831352257288624,0.06652142163194445,5.791586142163396
pt8sn0-2-best,0,500,-1.225526e-09,,-1.225526e-09,-12629.804923160795,1.6329417396588146,0.08332540791666666,5.841623893747965
pt8sn0-2-best,0,600,1.206635e-09,,1.206635e-09,-12564.22962213368,2.173121234965341,0.10042882493055555,5.890096219991392
pt8sn0-2-best,0,700,-3.80768e-09,,-3.80768e-09,-12508.668764546186,2.7042606032370644,0.11631226724358974,5.88629243934065
pt8sn0-2-best,0,800,-7.916318e-09,,-7.916318e-09,-12508.119123064007,3.2539020854169043,0.13349824092948717,5.97415455288683
pt8sn0-2-best,0,900,1.433357e-08,,1.433357e-08,-12562.572317660277,3.8304257083679354,0.15312917618055555,5.9180636533665165
pt8sn0-2-best,0,1000,2.095695e-08,,2.095695e-08,-12562.02628399698,4.376459371666442,0.1716205201736111,5.990598542362022
pt8sn0-2-best,0,1100,2.784377e-07,,2.784377e-07,-12561.447115192013,4.9556281766317625,0.18996090458333334,6.166575225706765
pt8sn1-2-best,1,200,8.527359e-09,8.18378e-09,3.66686e-09,-13364.623945264319,0.0001946440001616297,0.03825493411165223,6.170984410046003
pt8sn1-2-best,1,300,-6.521153e-09,-6.011371e-09,-3.268527e-11,-13498.235269858447,0.6239500515368404,0.0583410408446712,6.211973715899148
pt8sn1-2-best,1,400,3.302064e-09,4.601778e-09,3.749505e-09,-12126.163403380539,1.0822429474042616,0.0678185429420194,6.215016967992142
pt8sn1-2-best,1,500,3.464716e-08,3.714748e-08,7.159168e-08,-12806.05126070914,1.752557088008325,0.09200786638690477,6.278554004022681
pt8sn1-2-best,1,600,1.060345e-08,1.362135e-08,5.329588e-08,-12298.468597750012,2.2277791390196007,0.10538466072656841,6.333113954540295
pt8sn1-2-best,1,700,4.307561e-07,4.713938e-07,6.526538e-07,-12124.513424769764,2.73222155818035,0.1228754017537478,6.389209647904863
pt8sn1-2-best,1,800,7.905445e-07,8.552806e-07,1.706343e-06,-13126.024582181533,3.688167723868522,0.1546369929389881,6.467594434741386
pt8sn1-2-best,1,900,1.375101e-06,1.19946e-06,,-13642.324181044185,4.536774749592844,0.18286726967553688,6.387451708790195
pt8sn1-2-best,1,1000,1.529402e-06,1.70769e-06,4.05156e-06,-13756.600971649705,5.249084633852889,0.207563985621345,6.4144969175026745
pt8sn1-2-best,1,1100,1.777408e-06,1.92967e-06,,-13576.567415535317,5.818206591592181,0.22234439782029478,6.497050806365223
pt8sn10-2-best,10,200,1.422559e-08,1.383295e-08,1.331675e-08,-4936.632439537479,0.009093213351451804,0.018918946904761903,2.1782176342549064
pt8sn10-2-best,10,300,1.274099e-07,1.74934e-07,2.374116e-07,-4987.649928102936,0.22959484096785066,0.02335168943915344,2.201138199820889
pt8sn10-2-best,10,400,1.998515e-07,2.013787e-07,2.033865e-07,-5008.237175625342,0.4577808344989194,0.03327253856646825,2.2419146242691568
pt8sn10-2-best,10,500,2.324238e-07,4.581358e-07,8.736585e-07,-4941.784875331349,0.6791563050575694,0.03837741937229437,2.2293967536893433
pt8sn10-2-best,10,600,5.008623e-07,7.785802e-07,1.143683e-06,-5127.852809953669,0.9311860211901848,0.04691588705128205,2.2664849860939285
pt8sn10-2-best,10,700,3.625147e-07,5.286946e-07,7.471633e-07,-5063.576946541563,1.1595616919534082,0.05418511328449328,2.3345206328872337
pt8sn10-2-best,10,800,3.278378e-07,7.40999e-07,1.284163e-06,-4986.498696531471,1.3808264124336953,0.06071794316402116,2.3448441132836706
pt8sn10-2-best,10,900,,3.127936e-06,3.624018e-06,-4819.781567422619,1.5744873937935153,0.06471216092063492,2.338740534119097
pt8sn10-2-best,10,1000,2.578726e-06,3.642479e-06,4.630678e-06,-4864.95394933873,1.8175967851802852,0.07209275152958153,2.3460685242048385
pt8sn10-2-best,10,1100,5.635062e-06,,,-5041.272828968783,2.1145166842854146,0.08240534558201058,2.369249888924969
pt8sn2-1-best,2,200,4.562491e-09,4.79742e-09,6.341628e-09,-11328.392365624015,0.01130479347236923,0.03320883082142857,5.772257977541813
pt8sn2-1-best,2,300,7.295442e-09,7.379195e-09,7.929749e-09,-11609.419259231012,0.5396912897826951,0.050322430598214285,5.834988587814678
pt8sn2-1-best,2,400,6.168011e-09,5.558476e-09,1.551802e-09,-11713.72125475456,1.102259912180307,0.06841008268055555,5.931715639401318
pt8sn2-1-best,2,500,-8.493431e-09,-9.01575e-09,-1.244912e-08,-11835.869867306299,1.6899589344746953,0.08738513586111112,5.969914400845937
pt8sn2-1-best,2,600,-7.218037e-10,4.805527e-10,8.383939e-09,-11617.479810066337,2.202549854134584,0.10178827818910256,5.971610096764834
pt8sn2-1-best,2,700,1.51582e-07,2.805905e-07,4.823315e-07,-11957.94955535117,2.8723425575427193,0.12492616710493827,5.971159434243418
pt8sn2-1-best,2,800,6.092235e-07,8.472334e-07,2.849351e-07,-11756.95057517702,3.3642868398105334,0.13946108970075757,5.994798494918996
pt8sn2-1-best,2,900,7.771044e-07,7.453098e-07,7.80466e-07,-11852.88960414106,3.9834540682118544,0.16004518668939394,6.050961841526714
pt8sn2-1-best,2,1100,3.836958e-06,3.825892e-06,3.753146e-06,-11983.182111324457,5.2312572711520975,0.20033883174637682,6.045437181101079
pt8sn3-1-best,3,200,-4.555024e-09,-4.626564e-09,-4.94007e-09,-9994.880596489815,0.0021791970997155122,0.029531090935510568,4.785013439081273
pt8sn3-1-best,3,300,4.542791e-08,5.086661e-08,7.47e-08,-9808.257052872494,0.4653554181510314,0.0429721450000975,4.762207099634646
pt8sn3-1-best,3,400,9.217876e-08,1.127151e-07,2.027091e-07,-9831.870314147785,0.9329215176163871,0.05779006929540945,4.76751327175277
pt8sn3-1-best,3,500,8.054806e-08,9.595716e-08,1.634829e-07,-9817.66393985232,1.3972010895623068,0.07248002156888433,4.771964471159923
pt8sn3-1-best,3,600,2.711545e-07,1.871491e-07,4.18458e-08,-9897.533544920794,1.885585724500093,0.08880131339007422,4.805526234735486
pt8sn3-1-best,3,700,5.417389e-07,5.378029e-07,5.205556e-07,-9755.543335200247,2.3092206679553264,0.10168137105220573,4.89897237704229
pt8sn3-1-best,3,800,1.262235e-06,1.363346e-06,1.806437e-06,-9790.987237912383,2.7845202790214216,0.11668307060763888,4.8865730817228075
pt8sn3-1-best,3,900,1.238343e-06,1.16796e-06,6.884134e-07,-9853.51992743961,3.318413674810966,0.1342255193653886,4.893238341262206
pt8sn3-1-best,3,1000,,,5.0387e-06,-9965.937568877549,3.85350480485776,0.15086220966549735,4.916134174175438
pt8sn3-1-best,3,1100,4.78556e-07,5.561609e-07,2.217919e-06,-10019.570221091628,4.368431865570953,0.16764858879864117,4.883742385656141
pt8sn4-1-best,4,200,1.149293e-09,1.934219e-09,4.513964e-09,-9108.400289964107,0.0006242223656512136,0.029658934115615612,4.458838905993616
pt8sn4-1-best,4,300,4.833656e-09,2.778397e-10,4.204727e-10,-9111.987297318337,0.44562348010018277,0.0425358282119883,4.458549758214109
pt8sn4-1-best,4,400,-2.572782e-09,-3.245842e-09,-5.457938e-09,-8987.727375072493,0.8664820988780255,0.05395659880238095,4.43491146084073
pt8sn4-1-best,4,500,5.748818e-09,5.442702e-09,4.436611e-09,-8972.833255730577,1.2879120575227827,0.06803361558838383,4.464540674680393
pt8sn4-1-best,4,600,3.280894e-07,2.427796e-07,-3.760303e-08,-9011.713027328145,1.7378605180279378,0.08103455624249249,4.502509489251289
pt8sn4-1-best,4,700,3.114253e-07,3.551386e-07,4.988084e-07,-9020.850152805073,2.1723570278567963,0.09537144149099099,4.501786441854035
pt8sn4-1-best,4,800,5.259557e-07,6.915492e-07,1.235793e-06,-9023.837885293407,2.631478519130197,0.11011252375365496,4.528319597190083
pt8sn4-1-best,4,900,1.129157e-06,1.153248e-06,1.23243e-06,-8918.080024690973,3.0328621778853933,0.12342142106203703,4.556946511563963
pt8sn4-1-best,4,1100,1.477859e-05,1.50885e-05,1.610706e-05,-9008.308391186936,3.9288396513106987,0.151406599154321,4.525733306834029
pt8sn5-1-best,5,200,5.261612e-08,5.013452e-08,4.360956e-08,-7745.50043853845,0.005429205296351077,0.024299429217887376,3.698312546912348
pt8sn5-1-best,5,300,1.498518e-08,1.509392e-08,1.537989e-08,-7722.1639076959555,0.37349569008874356,0.035235562001972386,3.7102651365557904
pt8sn5-1-best,5,400,2.446802e-08,3.062249e-08,4.680445e-08,-7752.308622830187,0.7457385856620309,0.04742808446632315,3.7744028786879165
pt8sn5-1-best,5,500,3.910219e-08,3.458935e-08,2.272381e-08,-7749.6128291080495,1.1349191285036608,0.059432085869419046,3.8188314818671643
pt8sn5-1-best,5,600,5.044332e-07,5.4749e-07,6.606997e-07,-7720.648494911259,1.5010771221619077,0.0709587606305208,3.7676338202819744
pt8sn5-1-best,5,700,1.922119e-07,2.391497e-07,3.625633e-07,-7703.2731028662665,1.8571551247591351,0.08261023365459541,3.773274031736946
pt8sn5-1-best,5,800,1.395932e-06,1.222062e-06,7.649048e-07,-7660.943956924666,2.223428905060814,0.09436069683981643,3.8365900842070135
pt8sn5-1-best,5,900,1.924357e-06,2.075846e-06,4.9152e-06,-7690.9440825056445,2.6311166126334844,0.10835369118084122,3.8510632068118866
pt8sn5-1-best,5,1000,4.475204e-06,5.27205e-06,7.367203e-06,-7597.107648392983,2.973102178370482,0.11948488763057255,3.873374161180436
pt8sn6-1-best,6,200,-3.460913e-08,-3.202554e-08,-2.636469e-08,-6721.898447794674,0.00213655341053709,0.020535740797847986,3.21098974996706
pt8sn6-1-best,6,300,-2.794578e-09,-2.673638e-09,-2.408641e-09,-6728.1311329285445,0.31743076847272855,0.029805294831834833,3.1975756150791312
pt8sn6-1-best,6,400,-7.799571e-09,-4.771847e-09,1.86213e-09,-6742.2080679550345,0.6340750044365918,0.03995083300532801,3.175700988818638
pt8sn6-1-best,6,500,7.864565e-08,8.056887e-08,8.478269e-08,-6739.7204485199845,0.9424649155958765,0.049901008294329134,3.2010302812401883
pt8sn6-1-best,6,600,6.002417e-08,5.59369e-08,4.698148e-08,-6732.066715246705,1.265907766563227,0.0603788991153192,3.1982812078073644
pt8sn6-1-best,6,700,1.264616e-06,1.252383e-06,1.225581e-06,-6716.5285223693445,1.5674288901218745,0.07164473210508242,3.1991454659510055
