composition,base_system,temperature,temp_K,element,D_cm2_s,r2,intercept_A2,n_runs,slope,p_value,std_err,n_fit_points,fit_range_ps
pt8sn0-2-best,pt8sn0-2-best,200K,200,Pt,-2.654527e-10,4.512336e-02,2.912647e-02,3,-1.592716e-05,5.214538e-05,3.888635e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,200K,200,Sn,-2.654527e-10,4.512336e-02,2.912647e-02,3,-1.592716e-05,5.214538e-05,3.888635e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,300K,300,Pt,9.706071e-10,2.162523e-01,4.126230e-02,6,5.823642e-05,1.482601e-20,5.884211e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,300K,300,Sn,9.706071e-10,2.162523e-01,4.126230e-02,6,5.823642e-05,1.482601e-20,5.884211e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,400K,400,Pt,7.847486e-10,7.749482e-02,6.432525e-02,5,4.708491e-05,8.920860e-08,8.622152e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,400K,400,Sn,7.847486e-10,7.749482e-02,6.432525e-02,5,4.708491e-05,8.920860e-08,8.622152e-06,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,500K,500,Pt,-1.225526e-09,1.279161e-01,9.440784e-02,4,-7.353153e-05,3.267540e-12,1.019004e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,500K,500,Sn,-1.225526e-09,1.279161e-01,9.440784e-02,4,-7.353153e-05,3.267540e-12,1.019004e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,600K,600,Pt,1.206635e-09,3.085997e-02,1.128211e-01,5,7.239808e-05,8.575857e-04,2.153319e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,600K,600,Sn,1.206635e-09,3.085997e-02,1.128211e-01,5,7.239808e-05,8.575857e-04,2.153319e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,700K,700,Pt,-3.807680e-09,1.459761e-01,1.864448e-01,6,-2.284608e-04,7.472427e-14,2.932863e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,700K,700,Sn,-3.807680e-09,1.459761e-01,1.864448e-01,6,-2.284608e-04,7.472427e-14,2.932863e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,800K,800,Pt,-7.916318e-09,2.719691e-01,2.944983e-01,6,-4.749791e-04,2.739413e-26,4.124539e-05,357,50.0-500.0
pt8sn0-2-best,pt8sn0-2-best,800K,800,Sn,-7.916318e-09,2.719691e-01,2.944983e-01,6,-4.749791e-04,2.739413e-26,4.124539e-05,357,50.0-500.0
