composition,temperature,temp_value,element,n_runs,D_ensemble,R2_ensemble,intercept
Sn5O4Pt2,1000K,1000,Pt,1,4.069511556828053e-06,0.907440739826164,-1.692487867248225
Sn5O4Pt2,1000K,1000,PtSn,1,2.9896643239941886e-06,0.9185216454935622,-1.2483446722832223
Sn5O4Pt2,1000K,1000,Sn,1,2.279853262895251e-06,0.9260241689599067,-0.9564007346970964
Sn5O4Pt2,1100K,1100,Pt,2,1.3188333478705128e-06,0.7079020698020149,7.279833695151992
Sn5O4Pt2,1100K,1100,PtSn,2,1.3999311410854954e-06,0.8676383164361456,4.4382556491529765
Sn5O4Pt2,1100K,1100,Sn,2,1.4532393870481567e-06,0.9136835869288817,2.5704096540154664
Sn5O4Pt2,700K,700,Pt,2,3.1961326726314654e-07,0.8154145349015424,1.4936499863131272
Sn5O4Pt2,700K,700,PtSn,2,2.2466476126008222e-07,0.8382378591698133,0.9730351426683483
Sn5O4Pt2,700K,700,Sn,2,1.6225260474640915e-07,0.8113496283549715,0.6308212718241629
Sn5O4Pt2,800K,800,Pt,1,4.770952362238814e-06,0.9618753239851103,-6.26442470895277
Sn5O4Pt2,800K,800,PtSn,1,3.0906215877150955e-06,0.9643218437653924,-3.528772370741107
Sn5O4Pt2,800K,800,Sn,1,1.986096496667309e-06,0.9660378751198861,-1.7305569180133684
Sn10Pt7O4,1100K,1100,Pt,3,1.4903146482654901e-06,0.748741575073456,12.598209359598592
Sn10Pt7O4,1100K,1100,PtSn,3,1.512056984098558e-06,0.8592027913987609,10.438066347292011
Sn10Pt7O4,1100K,1100,Sn,3,2.595736173455045e-06,0.9625378291254852,5.229325700262331
Sn10Pt7O4,500K,500,Pt,1,1.2770708643036483e-07,0.859286486690549,0.25797414821416154
Sn10Pt7O4,500K,500,PtSn,1,1.0598062286584258e-07,0.8349759906402447,0.3405422996800669
Sn10Pt7O4,500K,500,Sn,1,8.098822045390256e-08,0.7364235157455821,0.4355220787069446
Sn10Pt7O4,600K,600,Pt,1,1.4741716792603322e-07,0.7778299080569101,0.5801305834635323
Sn10Pt7O4,600K,600,PtSn,1,1.0847789013121218e-07,0.7728418492718913,0.6205259611958158
Sn10Pt7O4,600K,600,Sn,3,2.023786159183901e-08,0.4200197415345889,0.5121303409419063
Sn10Pt7O4,700K,700,Pt,2,1.6432463667747494e-07,0.845946715177544,0.9438096688532891
Sn10Pt7O4,700K,700,PtSn,2,1.1738849586493957e-07,0.7710873584733462,0.9705460489823764
Sn10Pt7O4,700K,700,Sn,2,6.339695582315532e-08,0.4997547504646238,1.001301170653047
Pt7Sn9O4,1000K,1000,Pt,1,2.443806387652675e-06,0.96203928443302,4.6962905625578415
Pt7Sn9O4,1000K,1000,PtSn,1,2.1023341214095372e-06,0.9413218343451575,5.000786664964156
Pt7Sn9O4,1000K,1000,Sn,1,1.665886999366545e-06,0.8664356140073979,5.389971085752311
Pt7Sn9O4,1100K,1100,Pt,2,2.348356590743159e-06,0.9637646476805903,5.922747868370646
Pt7Sn9O4,1100K,1100,PtSn,4,1.4562728903223564e-06,0.9191061905058737,6.60042226769288
Pt7Sn9O4,1100K,1100,Sn,4,1.1539223227081826e-06,0.9367032404255744,5.4928204834644525
Pt7Sn9O4,300K,300,Pt,1,2.1627041800713755e-07,0.8422716682865234,-0.008870589712022259
Pt7Sn9O4,300K,300,PtSn,1,1.635536228903324e-07,0.8135703873319848,0.05361432498014007
Pt7Sn9O4,300K,300,Sn,1,9.617437238233284e-08,0.6955681620678954,0.13347874739561394
Pt7Sn9O4,400K,400,Pt,1,1.333845067395443e-07,0.6654032198522642,0.8112351824233252
Pt7Sn9O4,400K,400,PtSn,1,2.567672506122998e-07,0.9322901146518984,0.4196569046086913
Pt7Sn9O4,400K,400,Sn,1,4.144670281774197e-07,0.9503805903820641,-0.08083334898977768
Pt7Sn9O4,800K,800,Pt,3,8.422948338348278e-07,0.9811980461785609,2.0239261378210394
Pt7Sn9O4,800K,800,PtSn,3,7.284420974194375e-07,0.9767254793195612,2.063500767221164
Pt7Sn9O4,800K,800,Sn,1,1.1654249256176738e-06,0.9397388661572764,1.985239329569782
