composition,temperature,temp_value,element,n_runs,n_runs_original,n_runs_filtered,D_ensemble,R2_ensemble,intercept
Sn5O4Pt2,1000K,1000,Pt,5,6,1,5.623387775138805e-07,0.8772438348805346,1.2077421059560973
Sn5O4Pt2,1000K,1000,PtSn,5,6,1,4.491979204055717e-07,0.9156606897248879,1.0574022072033933
Sn5O4Pt2,1000K,1000,Sn,5,6,1,3.7482749748684283e-07,0.9322314820995029,0.9585797828293932
Sn5O4Pt2,1100K,1100,Pt,4,6,2,1.836670042143061e-06,0.9332469388945728,4.798595954946787
Sn5O4Pt2,1100K,1100,PtSn,4,6,2,1.1090876684002318e-06,0.9566334935977429,4.098825598546839
Sn5O4Pt2,1100K,1100,Sn,4,6,2,6.308287289623615e-07,0.9187030844901286,3.6388487466344897
Sn5O4Pt2,200K,200,Pt,6,6,0,1.3812518853082993e-09,0.04109588985291791,0.14849742733397783
Sn5O4Pt2,200K,200,PtSn,6,6,0,1.0852135440715363e-09,0.05253120737091449,0.13266768327235187
Sn5O4Pt2,200K,200,Sn,6,6,0,8.906196359150228e-10,0.04856414924949845,0.1222623743536872
Sn5O4Pt2,300K,300,Pt,6,6,0,4.226080035657942e-09,0.15733948302623346,0.20936293845766468
Sn5O4Pt2,300K,300,PtSn,6,6,0,1.800545444690338e-09,0.06890122703466893,0.180453131742186
Sn5O4Pt2,300K,300,Sn,6,6,0,2.061778585516287e-10,0.001449370906509157,0.1614499612166558
Sn5O4Pt2,400K,400,Pt,6,6,0,7.207041364282524e-09,0.14238201433733827,0.26524663169970486
Sn5O4Pt2,400K,400,PtSn,6,6,0,5.21411019789393e-09,0.1640704437377277,0.21576679136307914
Sn5O4Pt2,400K,400,Sn,6,6,0,3.904103586726805e-09,0.16921049188006435,0.18324240124234922
Sn5O4Pt2,500K,500,Pt,6,6,0,8.857357433145191e-09,0.19163869887650917,0.3440862039887634
Sn5O4Pt2,500K,500,PtSn,6,6,0,5.432211055051801e-09,0.1707257551611239,0.2867427283560479
Sn5O4Pt2,500K,500,Sn,6,6,0,3.180773489801829e-09,0.11318001118737575,0.24904936145139073
Sn5O4Pt2,600K,600,Pt,6,6,0,4.800887011810674e-09,0.05814398962515906,0.4458886781109342
Sn5O4Pt2,600K,600,PtSn,6,6,0,2.758946843485999e-09,0.04494268111028757,0.3594903932931814
Sn5O4Pt2,600K,600,Sn,6,6,0,1.4167295778564412e-09,0.0201438955338117,0.3026985200121301
Sn5O4Pt2,700K,700,Pt,4,6,2,1.5049319767327855e-09,0.001523493780211168,0.6000490413823687
Sn5O4Pt2,700K,700,PtSn,4,6,2,3.2691366643736614e-09,0.014180912670081945,0.47934386474345997
Sn5O4Pt2,700K,700,Sn,4,6,2,4.42878627343323e-09,0.039800139475869765,0.40000123378043867
Sn5O4Pt2,800K,800,Pt,5,6,1,3.7230617776540415e-07,0.6804894059069894,1.0037574327649246
Sn5O4Pt2,800K,800,PtSn,5,6,1,2.537945245090869e-07,0.6869540872441566,0.8150841140436784
Sn5O4Pt2,800K,800,Sn,5,6,1,1.7589380784436264e-07,0.6765792792869838,0.6910638025263435
Sn5O4Pt2,900K,900,Pt,6,6,0,1.2719889941589865e-06,0.9619304361858148,0.7257531855049413
Sn5O4Pt2,900K,900,PtSn,6,6,0,9.10936423990644e-07,0.9608252747872414,0.5778761380829955
Sn5O4Pt2,900K,900,Sn,6,6,0,6.736074074814882e-07,0.9559864828523815,0.48067166234939274
Sn10Pt7O4,1000K,1000,Pt,6,6,0,1.3876145988127208e-06,0.9815026435086194,4.284860567886798
Sn10Pt7O4,1000K,1000,PtSn,6,6,0,1.2333942556190317e-06,0.9871690664610019,3.7531061717193204
Sn10Pt7O4,1000K,1000,Sn,6,6,0,1.055991156139195e-06,0.984407931698913,3.141418619213834
Sn10Pt7O4,1100K,1100,Pt,3,6,3,3.125873367991757e-06,0.959495721940632,4.357921019099635
Sn10Pt7O4,1100K,1100,PtSn,3,6,3,2.9051196700136808e-06,0.9604945507397529,3.4028309271525004
Sn10Pt7O4,1100K,1100,Sn,3,6,3,1.592513699129924e-06,0.9532555250585849,5.028051934951003
Sn10Pt7O4,200K,200,Pt,6,6,0,-1.520771618348012e-11,5.2994739038780295e-05,0.07487409375586235
Sn10Pt7O4,200K,200,PtSn,6,6,0,-1.4807756963991654e-10,0.006723230226746338,0.07378184144837684
Sn10Pt7O4,200K,200,Sn,6,6,0,-3.0092013956080983e-10,0.029789297718628645,0.07252539694846605
Sn10Pt7O4,300K,300,Pt,6,6,0,4.603739002551489e-09,0.06603384743009978,0.3169386240488504
Sn10Pt7O4,300K,300,PtSn,6,6,0,2.903537248652392e-09,0.03523497637322764,0.30717181366346374
Sn10Pt7O4,300K,300,Sn,6,6,0,9.477601713608744e-10,0.0049271891903643434,0.29593683586896474
Sn10Pt7O4,400K,400,Pt,6,6,0,7.2879792363961145e-09,0.28865417033248736,0.28481965044662955
Sn10Pt7O4,400K,400,PtSn,6,6,0,6.241611581604549e-09,0.30534496746270595,0.2706631711741781
Sn10Pt7O4,400K,400,Sn,6,6,0,5.037953186334229e-09,0.28799084577847345,0.2543786718932091
Sn10Pt7O4,500K,500,Pt,5,6,1,3.869084007295048e-08,0.8329391937966377,0.47466833513722884
Sn10Pt7O4,500K,500,PtSn,5,6,1,3.761674849513407e-08,0.8482789298584761,0.47589274436031725
Sn10Pt7O4,500K,500,Sn,5,6,1,3.638122013327558e-08,0.8162172923588613,0.4773010845321315
Sn10Pt7O4,600K,600,Pt,5,6,1,-4.731051778452074e-09,0.1024579940126007,0.497858131681538
Sn10Pt7O4,600K,600,PtSn,5,6,1,-3.1647844307209193e-09,0.060072679866655695,0.4806791179079926
Sn10Pt7O4,600K,600,Sn,3,6,3,-1.2812780432905488e-09,0.00559290562931737,0.4783971299407646
Sn10Pt7O4,700K,700,Pt,4,6,2,9.549293479021816e-08,0.7114360107795229,1.3419955849057255
Sn10Pt7O4,700K,700,PtSn,4,6,2,8.613830333240699e-08,0.7714374458864915,1.1385804249148603
Sn10Pt7O4,700K,700,Sn,4,6,2,7.53775089413311e-08,0.7410550170609479,0.9045875970134072
Sn10Pt7O4,800K,800,Pt,6,6,0,6.002150261856303e-07,0.9464834596554053,2.7453673768897118
Sn10Pt7O4,800K,800,PtSn,6,6,0,4.790702499748606e-07,0.9516866227780167,2.542115455762859
Sn10Pt7O4,800K,800,Sn,6,6,0,3.397146823126416e-07,0.9344733434321623,2.3083105876198555
Sn10Pt7O4,900K,900,Pt,6,6,0,8.765079707936682e-07,0.9517054883431698,4.07629598438848
Sn10Pt7O4,900K,900,PtSn,6,6,0,8.404084625523013e-07,0.9549436808745304,3.4375582719880757
Sn10Pt7O4,900K,900,Sn,6,6,0,7.988823436693202e-07,0.9530239856757975,2.7028054022908865
Pt7Sn9O4,1000K,1000,Pt,5,6,1,7.741187942085686e-07,0.9281050557703227,6.19773636821621
Pt7Sn9O4,1000K,1000,PtSn,5,6,1,7.974890594091408e-07,0.939708929215055,5.7244906438516665
Pt7Sn9O4,1000K,1000,Sn,5,6,1,8.27359152236448e-07,0.9357668533573675,5.119620109643928
Pt7Sn9O4,1100K,1100,Pt,4,6,2,1.0990693436386964e-06,0.7617681020177323,8.22260694142776
Pt7Sn9O4,1100K,1100,PtSn,2,6,4,1.5915985367047927e-06,0.9332502110106959,6.167846742195666
Pt7Sn9O4,1100K,1100,Sn,2,6,4,2.142169472533623e-06,0.9744812718712729,4.549576945473222
Pt7Sn9O4,200K,200,Pt,6,6,0,3.569617674908192e-08,0.8735849504409989,0.07249402914518621
Pt7Sn9O4,200K,200,PtSn,6,6,0,3.525579440434117e-08,0.8784990845280063,0.0842448999747076
Pt7Sn9O4,200K,200,Sn,6,6,0,3.4692915881413586e-08,0.8806127169626382,0.09926414300117534
Pt7Sn9O4,300K,300,Pt,5,6,1,9.946904491423574e-09,0.43448670295062286,0.23100300130492907
Pt7Sn9O4,300K,300,PtSn,5,6,1,6.435828440276902e-09,0.32950403818684765,0.21576270694529567
Pt7Sn9O4,300K,300,Sn,5,6,1,1.9481916158922242e-09,0.07007656447917911,0.19628359243427063
Pt7Sn9O4,400K,400,Pt,5,6,1,1.045797048008698e-08,0.2571516941523462,0.4236546876052693
Pt7Sn9O4,400K,400,PtSn,5,6,1,8.374562214791218e-09,0.26493990652823857,0.3779295913447048
Pt7Sn9O4,400K,400,Sn,5,6,1,5.711687763470437e-09,0.22566443388370222,0.3194867704479278
Pt7Sn9O4,500K,500,Pt,6,6,0,1.1520576721516304e-07,0.9003475878004884,0.5977090670410872
Pt7Sn9O4,500K,500,PtSn,6,6,0,1.426462922997361e-07,0.9498219512307677,0.6066914126366181
Pt7Sn9O4,500K,500,Sn,6,6,0,1.777189955630808e-07,0.9618930394879859,0.6181719718281341
Pt7Sn9O4,600K,600,Pt,6,6,0,4.613410184073468e-07,0.9337821276540352,1.3650273152261754
Pt7Sn9O4,600K,600,PtSn,6,6,0,3.9263197451175825e-07,0.9428458508359051,1.2069193722368046
Pt7Sn9O4,600K,600,Sn,6,6,0,3.048126641981523e-07,0.9523421081789556,1.004835740952295
Pt7Sn9O4,700K,700,Pt,6,6,0,5.095127848564985e-08,0.6379028011778511,1.2944432088096047
Pt7Sn9O4,700K,700,PtSn,6,6,0,4.1640949474792006e-08,0.4440713522649239,1.3367982039391
Pt7Sn9O4,700K,700,Sn,6,6,0,2.9741119587123696e-08,0.17535309513557845,1.3909334049311237
Pt7Sn9O4,800K,800,Pt,3,6,3,7.353818629487153e-07,0.8731451307942283,2.3909377308223765
Pt7Sn9O4,800K,800,PtSn,3,6,3,4.780013489772431e-07,0.8085821011377413,2.3689912992973583
Pt7Sn9O4,800K,800,Sn,5,6,1,2.0608978849610208e-07,0.7737285942754814,2.2759645746180954
Pt7Sn9O4,900K,900,Pt,6,6,0,9.250242237951579e-07,0.8948264915735419,5.113971635842042
Pt7Sn9O4,900K,900,PtSn,6,6,0,8.497636500185046e-07,0.897036123366742,4.5696305366862395
Pt7Sn9O4,900K,900,Sn,6,6,0,7.535708315855796e-07,0.8939408106677653,3.8738877359561785
O4Pt3Sn6,1000K,1000,Pt,5,6,1,4.401895708730318e-07,0.9409312266778472,2.366326594629202
O4Pt3Sn6,1000K,1000,PtSn,5,6,1,3.8324319846008653e-07,0.8933006931226731,3.5014837905370686
O4Pt3Sn6,1000K,1000,Sn,5,6,1,2.0657325670865872e-07,0.6369068156379437,4.280040206335382
O4Pt3Sn6,1100K,1100,Pt,5,6,1,9.184531426881925e-07,0.9481413039775468,2.653352981743626
O4Pt3Sn6,1100K,1100,PtSn,5,6,1,1.094896398030961e-06,0.9589705164405677,3.2296995209601205
O4Pt3Sn6,1100K,1100,Sn,5,6,1,1.2398724336608626e-06,0.957365383213768,3.7032589548671684
