group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O2Pt4Sn6_1000K_Pt,O2Pt4Sn6,1000K,Pt,24,7.810000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1000K\T1000.r24.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt4Sn6_1000K_Sn,O2Pt4Sn6,1000K,Sn,8,-6e-09,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt4Sn6\1000K\T1000.r8.gpu0_msd_Sn.xvg,IQR_outlier
O2Pt4Sn6_1000K_Sn,O2Pt4Sn6,1000K,Sn,24,1.6110000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1000K\T1000.r24.gpu0_msd_Sn.xvg,IQR_outlier
O2Pt4Sn6_1100K_Pt,O2Pt4Sn6,1100K,Pt,27,3.6320000000000005e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1100K\T1100.r27.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt4Sn6_1100K_Pt,O2Pt4Sn6,1100K,Pt,28,8.090000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1100K\T1100.r28.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Pt4Sn6_1100K_PtSn,O2Pt4Sn6,1100K,PtSn,27,3.877e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1100K\T1100.r27.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Pt4Sn6_1100K_PtSn,O2Pt4Sn6,1100K,PtSn,28,9.940000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1100K\T1100.r28.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Pt4Sn6_1100K_Sn,O2Pt4Sn6,1100K,Sn,28,1.1970000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\1100K\T1100.r28.gpu0_msd_Sn.xvg,Intercept>10.0A²
O2Pt4Sn6_500K_Pt,O2Pt4Sn6,500K,Pt,3,-2.6700000000000005e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Pt4Sn6\500K\T500.r3.gpu0_msd_Pt.xvg,IQR_outlier
O2Pt4Sn6_500K_Pt,O2Pt4Sn6,500K,Pt,10,9.05e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt4Sn6\500K\T500.r10.gpu0_msd_Pt.xvg,IQR_outlier
