element,sn_content,Ea_kJ_mol,r2,n_points,T_range
Pt,0,118.6650,0.8002,3,900-1100K
Pt,1,23.1205,0.9577,5,700-1100K
Pt,2,49.2597,0.9656,4,700-1100K
Pt,3,-2.5319,0.0165,4,700-1100K
Pt,4,61.3355,0.8961,4,700-1100K
Pt,5,58.0093,0.9373,4,700-1000K
Pt,6,8.5620,0.2321,5,700-1100K
Pt,7,42.3156,0.9522,5,700-1100K
Pt,8,17.0387,0.1980,4,700-1000K
Pt,9,31.3159,0.2985,4,700-1000K
Pt,10,47.0413,0.8843,4,700-1100K
Sn,0,118.6650,0.8002,3,900-1100K
Sn,1,34.9917,0.9841,3,700-1000K
Sn,2,35.3432,0.7046,4,700-1100K
Sn,3,25.6809,0.4772,5,700-1100K
Sn,4,52.4020,0.8544,4,700-1100K
Sn,5,63.2179,0.9426,4,700-1000K
Sn,6,12.3133,0.6334,5,700-1100K
Sn,7,49.1758,0.7281,5,700-1100K
Sn,8,30.6969,0.7121,4,700-1000K
Sn,9,39.3412,0.7503,3,700-1000K
Sn,10,37.9115,0.9595,4,700-1000K
PtSn,1,22.9111,0.9894,5,700-1100K
PtSn,2,38.6548,0.8959,4,700-1100K
PtSn,3,-0.6794,0.0014,4,700-1100K
PtSn,4,58.6293,0.8922,4,700-1100K
PtSn,5,57.6351,0.9773,4,700-1000K
PtSn,6,10.0039,0.3772,5,700-1100K
PtSn,7,53.7445,0.8962,5,700-1100K
PtSn,8,19.1492,0.3348,4,700-1000K
PtSn,9,46.0595,0.7657,3,700-1000K
PtSn,10,41.8625,0.8947,4,700-1000K
