series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,0,200K,200,8.0,0.0,8.0,0.2000643907158408,0.013690559356131726,0.0,0.0,2.734667188138077,0.34183339851725963,0.0,0.0,0.0,0.0,2.496165669963063,0.0,7
Pt8Snx,0,300K,300,8.0,0.0,8.0,0.20234119031868825,0.015912472314480938,0.0,0.0,2.729452003299581,0.3411815004124476,0.0,0.0,0.0,0.0,2.4981452973829947,0.0,10
Pt8Snx,0,400K,400,8.0,0.0,8.0,0.20511592952417423,0.019446102948473248,0.0,0.0,2.724192185093754,0.34052402313671926,0.0,0.0,0.0,0.0,2.5004949113471744,0.0,10
Pt8Snx,0,500K,500,8.0,0.0,8.0,0.20772068054506,0.02185562479654401,0.0,0.0,2.7229396779607757,0.34036745974509697,0.0,0.0,0.0,0.0,2.501114969896854,0.0,10
Pt8Snx,0,600K,600,8.0,0.0,8.0,0.2097184345207542,0.02493384571366765,0.0,0.0,2.7143084411461955,0.33928855514327444,0.0,0.0,0.0,0.0,2.504458248690352,0.0,10
Pt8Snx,0,700K,700,8.0,0.0,8.0,0.21239469471075165,0.0281373730227647,0.0,0.0,2.7124666817446443,0.33905833521808054,0.0,0.0,0.0,0.0,2.5058329531182095,0.0,10
Pt8Snx,0,800K,800,8.0,0.0,8.0,0.219954376462494,0.034141881709611896,0.0,0.0,2.7139047538499748,0.33923809423124685,0.0,0.0,0.0,0.0,2.5078189940361733,0.0,10
Pt8Snx,0,900K,900,8.0,0.0,8.0,0.2228736413237245,0.03624207585940262,0.0,0.0,2.7079978881002105,0.3384997360125263,0.0,0.0,0.0,0.0,2.5170333795143014,0.0,10
Pt8Snx,0,1000K,1000,8.0,0.0,8.0,0.22715858951705314,0.04027634267790089,0.0,0.0,2.694864241225512,0.336858030153189,0.0,0.0,0.0,0.0,2.512357260030036,0.0,10
Pt8Snx,0,1100K,1100,8.0,0.0,8.0,0.22837743815933376,0.0430578693543772,0.0,0.0,2.6957163839080773,0.33696454798850967,0.0,0.0,0.0,0.0,2.5346389659979467,0.0,10
Pt8Snx,1,200K,200,8.0,1.0,9.0,0.19332592945720672,0.02372248002200778,0.0,0.0,3.1701367053911276,0.33409472985758154,0.0621723583163094,3.9790309322438016,0.0,3.9790309322438016,2.4949595964618347,-0.18703129572809823,7
Pt8Snx,1,300K,300,8.0,1.0,9.0,0.19960281319068818,0.030818005829222006,0.0,0.0,3.162597174618307,0.3342558262149061,0.061068820612382266,3.908404519192466,0.0,3.908404519192466,2.5028901926416354,-0.15076801787448657,10
Pt8Snx,1,400K,400,8.0,1.0,9.0,0.2068185983293372,0.0323346714342276,0.0,0.0,3.1351438102504128,0.33442476740606414,0.05746820887523746,3.6779653680151974,0.0,3.6779653680151974,2.53301700289,-0.015547078972229978,10
Pt8Snx,1,500K,500,8.0,1.0,9.0,0.222295068264119,0.03467206563068444,0.0,0.0,3.0620557185143014,0.331135681346565,0.0516212834677226,3.3037621419342473,0.0,3.3037621419342473,2.5855295160648835,0.19058506642528283,10
Pt8Snx,1,600K,600,8.0,1.0,9.0,0.21616760851755376,0.04191395958919543,0.0,0.0,3.021179108117678,0.3250906563719861,0.05255673214272359,3.3636308571343108,0.0,3.3636308571343108,2.620904456473486,0.014277277610592299,10
Pt8Snx,1,700K,700,8.0,1.0,9.0,0.2253613197699469,0.04804024783398271,0.0,0.0,2.9612335456151073,0.31949806039157497,0.050656132810313524,3.21940633887776,0.0,3.21940633887776,2.6015396222094997,0.19395072056629123,10
Pt8Snx,1,800K,800,8.0,1.0,9.0,0.2153779322934688,0.05150787796133949,0.0,0.0,3.018994061423983,0.3271560643776318,0.05021819330036613,3.2139643712234323,0.0,3.2139643712234323,2.6195362294371956,0.24138213037864903,10
Pt8Snx,1,900K,900,8.0,1.0,9.0,0.21423710604931992,0.05094404791934239,0.0,0.0,3.0353526157295905,0.32945457628224534,0.049964500683953444,3.197238635212704,0.0,3.197238635212704,2.6057257331652153,0.23794910730447266,10
Pt8Snx,1,1000K,1000,8.0,1.0,9.0,0.2124801951350485,0.05111307822513137,0.0,0.0,2.8717930822744924,0.3119457534044109,0.04702838187990066,2.9837448683133956,0.0,2.9837448683133956,2.6980722282835328,0.4115787503747129,10
Pt8Snx,1,1100K,1100,8.0,1.0,9.0,0.23396566056089058,0.05595371700336436,0.0,0.0,2.597654683693775,0.28225025339514354,0.042456582066578374,2.6887979446517636,0.0,2.6887979446517636,3.7475858603050143,0.25393042627101503,10
Pt8Snx,2,200K,200,8.0,2.0,10.0,0.2506468891638129,0.019549284767745537,0.0,0.0,3.5714636601408833,0.3323237314146311,0.11410922610297924,3.7148435917584925,0.03167417823157852,1.825747617647668,2.5272870952447493,0.22017273755915223,7
