sn,system,mean_300K,mean_900K,cv_300K,cv_900K,delta_mean,delta_cv
1,pt8sn1-2-best,0.199603,0.214237,0.052494,0.083161,-0.014634,0.030667
2,pt8sn2-1-best,0.245981,0.209893,0.029562,0.081087,0.036088,0.051525
3,pt8sn3-1-best,0.168339,0.203117,0.051981,0.081526,-0.034778,0.029545
4,pt8sn4-1-best,0.189071,0.181689,0.042449,0.074985,0.007382,0.032535
5,pt8sn5-1-best,0.162460,0.169958,0.039608,0.074055,-0.007498,0.034447
6,pt8sn6-1-best,0.148757,0.166130,0.032382,0.073737,-0.017373,0.041355
7,pt8sn7-1-best,0.194243,0.214431,0.069844,0.094078,-0.020188,0.024234
8,pt8sn8-1-best,0.216718,0.150850,0.027411,0.090597,0.065868,0.063186
9,pt8sn9-1-best,0.183970,0.146375,0.029358,0.070044,0.037595,0.040687
10,pt8sn10-2-best,0.163516,0.134573,0.048374,0.068369,0.028942,0.019995
