match_key,structure,temp,avg_energy,energy_std,delta,phase,run_id
Cv-1_T1000_r16,Cv-1,1000,-90757.66964451,1.39917079,0.225552,liquid,16
Cv-1_T1050_r17,Cv-1,1050,-90755.18858508,1.48237599,0.30445,liquid,17
Cv-1_T1100_r18,Cv-1,1100,-90752.76033792,1.51008137,0.342785,liquid,18
Cv-1_T250_r1,Cv-1,250,-90788.97021069,0.33043662,0.069856,solid,1
Cv-1_T200_r0,Cv-1,200,-90791.095382,0.26347985,0.066902,solid,0
Cv-1_T300_r2,Cv-1,300,-90786.87243888,0.41333097,0.104912,premelting,2
Cv-1_T350_r3,Cv-1,350,-90785.34460071,0.6527145,0.062719,solid,3
Cv-1_T450_r5,Cv-1,450,-90781.16136801,0.75759181,0.051802,solid,5
Cv-1_T400_r4,Cv-1,400,-90782.64417392,0.54556493,0.143349,premelting,4
Cv-1_T500_r6,Cv-1,500,-90779.23002259,0.70942694,0.0687,solid,6
Cv-1_T550_r7,Cv-1,550,-90776.98573839,0.79958501,0.137988,premelting,7
Cv-1_T650_r9,Cv-1,650,-90772.72711312,0.88643463,0.066494,solid,9
Cv-1_T600_r8,Cv-1,600,-90774.67131068,0.83405957,0.085264,solid,8
Cv-1_T700_r10,Cv-1,700,-90771.37474034,1.16485433,0.084859,solid,10
Cv-1_T800_r12,Cv-1,800,-90765.96613138,1.10380531,0.135214,premelting,12
Cv-1_T850_r13,Cv-1,850,-90763.85210687,1.18102685,0.209001,liquid,13
Cv-1_T750_r11,Cv-1,750,-90768.63042114,1.04349032,0.149014,premelting,11
Cv-1_T900_r14,Cv-1,900,-90762.10409937,1.27662937,0.144362,premelting,14
Cv-1_T950_r15,Cv-1,950,-90759.76088788,1.33071396,0.227164,liquid,15
Cv-2_T1050_r17,Cv-2,1050,-90755.71412126,1.5248608,0.258719,liquid,17
Cv-2_T1000_r16,Cv-2,1000,-90757.82598578,1.3655837,0.146122,premelting,16
