system_type,structure,temperature,original_points,filtered_points,removed_points,percent_removed
Cv,Cv-1,200,1,1,0,0.0
Cv,Cv-1,250,1,1,0,0.0
Cv,Cv-1,300,1,1,0,0.0
Cv,Cv-1,350,1,1,0,0.0
Cv,Cv-1,400,1,1,0,0.0
Cv,Cv-1,450,1,1,0,0.0
Cv,Cv-1,500,1,1,0,0.0
Cv,Cv-1,550,1,1,0,0.0
Cv,Cv-1,600,1,1,0,0.0
Cv,Cv-1,650,1,1,0,0.0
Cv,Cv-1,700,1,1,0,0.0
Cv,Cv-1,750,1,1,0,0.0
Cv,Cv-1,800,1,1,0,0.0
Cv,Cv-1,850,1,1,0,0.0
Cv,Cv-1,900,1,1,0,0.0
Cv,Cv-1,950,1,1,0,0.0
Cv,Cv-1,1000,1,1,0,0.0
Cv,Cv-1,1050,1,1,0,0.0
Cv,Cv-1,1100,1,1,0,0.0
Cv,Cv-2,200,1,1,0,0.0
Cv,Cv-2,250,1,1,0,0.0
Cv,Cv-2,300,1,1,0,0.0
Cv,Cv-2,350,1,1,0,0.0
Cv,Cv-2,400,1,1,0,0.0
Cv,Cv-2,450,1,1,0,0.0
Cv,Cv-2,500,1,1,0,0.0
Cv,Cv-2,550,1,1,0,0.0
Cv,Cv-2,600,1,1,0,0.0
Cv,Cv-2,650,1,1,0,0.0
Cv,Cv-2,700,1,1,0,0.0
Cv,Cv-2,750,1,1,0,0.0
Cv,Cv-2,800,1,1,0,0.0
Cv,Cv-2,850,1,1,0,0.0
Cv,Cv-2,900,1,1,0,0.0
Cv,Cv-2,950,1,1,0,0.0
Cv,Cv-2,1000,1,1,0,0.0
Cv,Cv-2,1050,1,1,0,0.0
Cv,Cv-2,1100,1,1,0,0.0
Cv,Cv-3,200,1,1,0,0.0
Cv,Cv-3,250,1,1,0,0.0
Cv,Cv-3,300,1,1,0,0.0
Cv,Cv-3,350,1,1,0,0.0
Cv,Cv-3,400,1,1,0,0.0
Cv,Cv-3,450,1,1,0,0.0
Cv,Cv-3,500,1,1,0,0.0
Cv,Cv-3,550,1,1,0,0.0
Cv,Cv-3,600,1,1,0,0.0
Cv,Cv-3,650,1,1,0,0.0
Cv,Cv-3,700,1,1,0,0.0
Cv,Cv-3,750,1,1,0,0.0
Cv,Cv-3,800,1,1,0,0.0
Cv,Cv-3,850,1,1,0,0.0
Cv,Cv-3,900,1,1,0,0.0
Cv,Cv-3,950,1,1,0,0.0
Cv,Cv-3,1000,1,1,0,0.0
Cv,Cv-3,1050,1,1,0,0.0
Cv,Cv-3,1100,1,1,0,0.0
Cv,Cv-4,200,1,1,0,0.0
Cv,Cv-4,250,1,1,0,0.0
Cv,Cv-4,300,1,1,0,0.0
Cv,Cv-4,350,1,1,0,0.0
Cv,Cv-4,400,1,1,0,0.0
Cv,Cv-4,450,1,1,0,0.0
Cv,Cv-4,500,1,1,0,0.0
Cv,Cv-4,550,1,1,0,0.0
Cv,Cv-4,600,1,1,0,0.0
Cv,Cv-4,650,1,1,0,0.0
Cv,Cv-4,700,1,1,0,0.0
Cv,Cv-4,750,1,1,0,0.0
Cv,Cv-4,800,1,1,0,0.0
Cv,Cv-4,850,1,1,0,0.0
Cv,Cv-4,900,1,1,0,0.0
Cv,Cv-4,950,1,1,0,0.0
Cv,Cv-4,1000,1,1,0,0.0
Cv,Cv-4,1050,1,1,0,0.0
Cv,Cv-4,1100,1,1,0,0.0
Cv,Cv-5,200,1,1,0,0.0
Cv,Cv-5,250,1,1,0,0.0
Cv,Cv-5,300,1,1,0,0.0
Cv,Cv-5,350,1,1,0,0.0
Cv,Cv-5,400,1,1,0,0.0
Cv,Cv-5,450,1,1,0,0.0
Cv,Cv-5,500,1,1,0,0.0
Cv,Cv-5,550,1,1,0,0.0
Cv,Cv-5,600,1,1,0,0.0
Cv,Cv-5,650,1,1,0,0.0
Cv,Cv-5,700,1,1,0,0.0
Cv,Cv-5,750,1,1,0,0.0
Cv,Cv-5,800,1,1,0,0.0
Cv,Cv-5,850,1,1,0,0.0
Cv,Cv-5,900,1,1,0,0.0
Cv,Cv-5,950,1,1,0,0.0
Cv,Cv-5,1000,1,1,0,0.0
Cv,Cv-5,1050,1,1,0,0.0
Cv,Cv-5,1100,1,1,0,0.0
Pt6,pt6,200,3,3,0,0.0
Pt6,pt6,300,3,3,0,0.0
Pt6,pt6,400,3,3,0,0.0
Pt6,pt6,500,3,3,0,0.0
Pt6,pt6,600,3,3,0,0.0
Pt6,pt6,700,3,3,0,0.0
Pt6,pt6,800,3,3,0,0.0
Pt6,pt6,900,3,3,0,0.0
Pt6,pt6,1000,3,3,0,0.0
Pt6,pt6,1100,3,3,0,0.0
Pt6SnX,pt6sn1,200,3,3,0,0.0
Pt6SnX,pt6sn1,300,3,3,0,0.0
Pt6SnX,pt6sn1,400,3,3,0,0.0
Pt6SnX,pt6sn1,500,3,3,0,0.0
Pt6SnX,pt6sn1,600,3,3,0,0.0
Pt6SnX,pt6sn1,700,3,3,0,0.0
Pt6SnX,pt6sn1,800,3,3,0,0.0
Pt6SnX,pt6sn1,900,3,3,0,0.0
Pt6SnX,pt6sn1,1000,3,3,0,0.0
Pt6SnX,pt6sn1,1100,3,3,0,0.0
Pt6SnX,pt6sn2,200,9,9,0,0.0
Pt6SnX,pt6sn2,300,9,9,0,0.0
Pt6SnX,pt6sn2,400,9,9,0,0.0
Pt6SnX,pt6sn2,500,9,9,0,0.0
Pt6SnX,pt6sn2,600,9,9,0,0.0
Pt6SnX,pt6sn2,700,9,9,0,0.0
Pt6SnX,pt6sn2,800,9,9,0,0.0
Pt6SnX,pt6sn2,900,9,8,1,11.11111111111111
Pt6SnX,pt6sn2,1000,9,8,1,11.11111111111111
Pt6SnX,pt6sn2,1100,9,8,1,11.11111111111111
Pt6SnX,pt6sn3,200,3,3,0,0.0
Pt6SnX,pt6sn3,300,3,3,0,0.0
Pt6SnX,pt6sn3,400,3,3,0,0.0
Pt6SnX,pt6sn3,500,3,3,0,0.0
Pt6SnX,pt6sn3,600,3,3,0,0.0
Pt6SnX,pt6sn3,700,3,3,0,0.0
Pt6SnX,pt6sn3,800,3,3,0,0.0
Pt6SnX,pt6sn3,900,3,3,0,0.0
Pt6SnX,pt6sn3,1000,3,3,0,0.0
Pt6SnX,pt6sn3,1100,3,3,0,0.0
Pt6SnX,pt6sn4,200,3,3,0,0.0
Pt6SnX,pt6sn4,300,3,3,0,0.0
Pt6SnX,pt6sn4,400,3,3,0,0.0
Pt6SnX,pt6sn4,500,3,3,0,0.0
Pt6SnX,pt6sn4,600,3,3,0,0.0
Pt6SnX,pt6sn4,700,3,3,0,0.0
Pt6SnX,pt6sn4,800,3,3,0,0.0
Pt6SnX,pt6sn4,900,3,3,0,0.0
Pt6SnX,pt6sn4,1000,3,3,0,0.0
Pt6SnX,pt6sn4,1100,3,3,0,0.0
Pt6SnX,pt6sn5-2,200,3,3,0,0.0
Pt6SnX,pt6sn5-2,300,3,3,0,0.0
Pt6SnX,pt6sn5-2,400,3,3,0,0.0
Pt6SnX,pt6sn5-2,500,3,3,0,0.0
Pt6SnX,pt6sn5-2,600,3,3,0,0.0
Pt6SnX,pt6sn5-2,700,3,3,0,0.0
Pt6SnX,pt6sn5-2,800,3,3,0,0.0
Pt6SnX,pt6sn5-2,900,3,3,0,0.0
Pt6SnX,pt6sn5-2,1000,3,3,0,0.0
Pt6SnX,pt6sn5-2,1100,3,3,0,0.0
Pt6SnX,pt6sn6-2,200,3,3,0,0.0
Pt6SnX,pt6sn6-2,300,3,3,0,0.0
Pt6SnX,pt6sn6-2,400,3,3,0,0.0
Pt6SnX,pt6sn6-2,500,3,3,0,0.0
Pt6SnX,pt6sn6-2,600,3,3,0,0.0
Pt6SnX,pt6sn6-2,700,3,3,0,0.0
Pt6SnX,pt6sn6-2,800,3,3,0,0.0
Pt6SnX,pt6sn6-2,900,3,3,0,0.0
Pt6SnX,pt6sn6-2,1000,3,3,0,0.0
